Entity,Code,Year,Forest area
Brazil,BRA,1990,588898000
Brazil,BRA,1991,585117060
Brazil,BRA,1992,581336120
Brazil,BRA,1993,577555180
Brazil,BRA,1994,573774240
Brazil,BRA,1995,569993300
Brazil,BRA,1996,566212360
Brazil,BRA,1997,562431420
Brazil,BRA,1998,558650480
Brazil,BRA,1999,554869540
Brazil,BRA,2000,551088600
Brazil,BRA,2001,547137810
Brazil,BRA,2002,543187020
Brazil,BRA,2003,539236230
Brazil,BRA,2004,535285440
Brazil,BRA,2005,531334650
Brazil,BRA,2006,527383860
Brazil,BRA,2007,523433070
Brazil,BRA,2008,519482280
Brazil,BRA,2009,515531490
Brazil,BRA,2010,511580700
Brazil,BRA,2011,510041520
Brazil,BRA,2012,508502340
Brazil,BRA,2013,506963160
Brazil,BRA,2014,505423980
Brazil,BRA,2015,503884800
Brazil,BRA,2016,502431760
Brazil,BRA,2017,500978720
Brazil,BRA,2018,499525680
Brazil,BRA,2019,498072640
Brazil,BRA,2020,496619600
